"","TAXON_ID","curve_shape","lm_slope"
"1",10034,"Positive_Peak",8.56566535149076e-05
"2",10258,"Positive_Peak",0.000150048541242789
"3",10267,"Positive_Peak",1.06953574732938e-05
"4",10268,"Positive_Peak",8.34520559381407e-05
"5",10269,"Positive_Peak",0.000386773939199111
"6",10273,"Positive_Peak",0.000509432661390926
"7",10281,"Negative_Trough",-0.000802495109177801
"8",10282,"Positive_Peak",0.000282904135192434
"9",10288,"Positive_Peak",0.000359960815123199
"10",10306,"Positive_Peak",0.000145306420833738
"11",10322,"Positive_Peak",1.22605955236917e-05
"12",10338,"Positive_Peak",0.000221705985132753
"13",10339,"Negative_Trough",-0.00111414388363941
"14",10361,"Neutral",2.29692002245214e-05
"15",10364,"Positive_Peak",0.000319528691985583
"16",10380,"Neutral",7.19681550358655e-06
"17",10382,"Positive_Peak",6.09849143765605e-05
"18",10392,"Positive_Peak",0.000182949883556081
"19",10398,"Positive_Peak",0.000178559607458613
"20",10401,"Positive_Peak",0.000234954188445285
"21",10408,"Positive_Peak",1.22774681083861e-05
"22",10424,"Positive_Peak",0.000247851068405616
"23",10436,"Negative_Trough",-1.25103567350271e-05
"24",10453,"Negative_Trough",-0.000369723469650498
"25",10465,"Negative_Trough",-0.000234109829581066
"26",10470,"Positive_Peak",0.000172616473547196
"27",10471,"Negative_Trough",-0.00020328710885138
"28",10475,"Positive_Peak",0.00028226242706951
"29",10484,"Negative_Trough",-0.000217612932525883
"30",10488,"Positive_Peak",0.000574469513738039
"31",10529,"Positive_Peak",0.000110380751166511
"32",10547,"Positive_Peak",0.000685166824658694
"33",10549,"Negative_Trough",-4.72341630523495e-05
"34",10558,"Positive_Peak",9.55439536517814e-05
"35",10560,"Positive_Peak",0.000478976105337404
"36",10564,"Negative_Trough",-5.47769073366036e-05
"37",10565,"Positive_Peak",8.24743458579529e-05
"38",10574,"Positive_Peak",0.000153385303131483
"39",10578,"Neutral",-5.56439088445806e-05
"40",10580,"Positive_Peak",0.000343760023973648
"41",10583,"Neutral",1.12964562983328e-05
"42",10591,"Positive_Peak",0.000161874630587427
"43",10613,"Neutral",2.81374950939825e-05
"44",10614,"Negative_Trough",-0.000148265039801742
"45",10617,"Negative_Trough",-6.52607206919901e-05
"46",10619,"Positive_Peak",0.00033873512122902
"47",10625,"Positive_Peak",0.000173612509709308
"48",10630,"Positive_Peak",0.000284965200511968
"49",10631,"Positive_Peak",0.00020439466767303
"50",10638,"Negative_Trough",-9.26848514116598e-05
"51",10645,"Positive_Peak",8.00347060527807e-05
"52",10662,"Negative_Trough",-0.000300898287990285
"53",10693,"Negative_Trough",-0.000195711493461123
"54",10694,"Negative_Trough",-5.77220911797021e-05
"55",10697,"Positive",3.68852413025886e-05
"56",10705,"Positive_Peak",7.11851518991821e-06
"57",10976,"Positive_Peak",0.000165180696568907
"58",11003,"Negative_Trough",-0.000600157238730164
"59",11017,"Negative_Trough",-0.000203835470519596
"60",11027,"Positive_Peak",0.000658587733540963
"61",11028,"Positive_Peak",0.000150112425810716
"62",11069,"Negative_Trough",-0.00086032284113373
"63",11097,"Negative_Trough",-0.000322239364695446
"64",11113,"Neutral",-9.13418158433079e-06
"65",11115,"Neutral",-3.5944423099432e-05
"66",11150,"Negative_Trough",-0.000139862404364462
"67",11165,"Negative_Trough",-4.620902772356e-06
"68",11242,"Negative",-7.81221296470571e-05
"69",11261,"Negative_Trough",-0.000151989053801502
"70",11265,"Negative_Trough",-0.000259177213254242
"71",11395,"Negative_Trough",-0.000194422337640131
"72",60555,"Positive_Peak",0.00147851672946253
"73",10647,"Negative_Trough",-0.0001205729988636
"74",10385,"Neutral",1.15404402487785e-05
"75",10476,"Positive_Peak",7.18623316678045e-05
"76",10381,"Neutral",4.28900475159107e-05
"77",10502,"Positive_Peak",4.96555142533083e-18
"78",10499,"Positive_Peak",5.24096743870965e-18
"79",10482,"Negative_Trough",-0.000115906530835473
"80",10441,"Positive_Peak",0.000150496508397437
"81",10640,"Positive_Peak",0.000216635736934298
"82",10532,"Neutral",-1.20077678083079e-05
"83",10593,"Negative_Trough",-0.00047558023066293
"84",10536,"Neutral",-7.70920901268398e-07
"85",10445,"Positive_Peak",0.000233872478298819
"86",10594,"Neutral",2.19965727516075e-06
"87",10622,"Positive_Peak",8.76846093720884e-05
"88",6001,"Negative_Trough",-0.000100385196929319
"89",10437,"Negative_Trough",-0.000165714747683034
"90",10481,"Negative_Trough",-0.000256761309692187
"91",10403,"Positive_Peak",0.000168679102806882
"92",10544,"Positive_Peak",0.000330682028574459
"93",10513,"Positive_Peak",9.35670247198238e-05
"94",10585,"Positive_Peak",6.94805840826107e-05
